cty_twnshp_name,quarter,tot_purch_amt
M,2016 Q4,256205.172
M,2017 Q1,300755.743
M,2017 Q2,275618.814
M,2017 Q3,271067.38
M,2017 Q4,281379.313
M,2018 Q1,415714
M,2018 Q2,414226.97
M,2018 Q3,292983.223
M,2018 Q4,284266.898
M,2019 Q1,296756.397
M,2019 Q2,304979.264
M,2019 Q3,308578.715
M,2019 Q4,307441.725
M,2020 Q1,320744.794
M,2020 Q2,314027.997
M,2020 Q3,317288.154
M,2020 Q4,325034.717
M,2021 Q1,332969.294
M,2021 Q2,327409.389
M,2021 Q3,345480.74
M,2021 Q4,337015.089
SP,2016 Q4,211216.6
SP,2017 Q1,221290.941
SP,2017 Q2,204848.054
SP,2017 Q3,240561.537
SP,2017 Q4,231010.614
SP,2018 Q1,220398.811
SP,2018 Q2,230012.412
SP,2018 Q3,256000.182
SP,2018 Q4,257346.375
SP,2019 Q1,237564.447
SP,2019 Q2,259137.694
SP,2019 Q3,257627.634
SP,2019 Q4,263509.635
SP,2020 Q1,255218.032
SP,2020 Q2,270145.654
SP,2020 Q3,257154.584
SP,2020 Q4,287109.401
SP,2021 Q1,272357.738
SP,2021 Q2,277751.876
SP,2021 Q3,303986.553
SP,2021 Q4,336052.834
