tot_purch_amt,sale_month,cty_twnshp_nme,crv_nbr,df.sale_year,dates,quarter
153000,4,St. Paul,544001,2017,2017-05-16,Q2-2017
192000,10,St. Paul,554748,2016,2016-10-26,Q4-2016
276500,10,Minneapolis,568613,2016,2017-02-24,Q1-2017
256000,10,Minneapolis,570199,2016,2016-10-21,Q4-2016
329000,10,Minneapolis,571677,2016,2017-02-10,Q1-2017
740000,10,Minneapolis,571683,2016,2017-04-27,Q2-2017
98000,10,Minneapolis,571693,2016,2017-06-08,Q2-2017
230000,10,Minneapolis,571697,2016,2016-11-04,Q4-2016
132000,10,Minneapolis,571704,2016,2017-02-10,Q1-2017
110000,10,Minneapolis,571706,2016,2017-06-08,Q2-2017
188000,10,St. Paul,571708,2016,2016-11-29,Q4-2016
180000,10,St. Paul,571714,2016,2016-10-13,Q4-2016
229900,10,St. Paul,571730,2016,2016-10-14,Q4-2016
670500,10,St. Paul,571749,2016,2016-10-24,Q4-2016
145000,10,St. Paul,571785,2016,2016-10-13,Q4-2016
265000,10,Minneapolis,571827,2016,2016-10-26,Q4-2016
166000,10,St. Paul,571832,2016,2016-10-24,Q4-2016
257000,10,Minneapolis,571881,2016,2016-10-26,Q4-2016
206800,10,Minneapolis,571893,2016,2017-02-10,Q1-2017
163700,10,Minneapolis,571933,2016,2016-11-10,Q4-2016
95000,10,Minneapolis,571935,2016,2016-10-28,Q4-2016
282000,10,Minneapolis,571942,2016,2016-10-26,Q4-2016
147500,10,St. Paul,571959,2016,2016-10-18,Q4-2016
185000,10,Minneapolis,572007,2016,2016-11-04,Q4-2016
128000,10,Minneapolis,572023,2016,2016-11-10,Q4-2016
378000,10,Minneapolis,572045,2016,2017-02-10,Q1-2017
403500,10,St. Paul,572089,2016,2016-10-27,Q4-2016
97000,10,St. Paul,572148,2016,2016-10-18,Q4-2016
169000,10,St. Paul,572155,2016,2016-10-18,Q4-2016
58000,10,St. Paul,572198,2016,2016-10-18,Q4-2016
180500,10,Minneapolis,572211,2016,2017-02-10,Q1-2017
195000,10,Minneapolis,572339,2016,2017-06-08,Q2-2017
270000,10,Minneapolis,572367,2016,2016-10-19,Q4-2016
265000,10,Minneapolis,572386,2016,2016-10-26,Q4-2016
100150,10,Minneapolis,572411,2016,2017-06-08,Q2-2017
240000,10,Minneapolis,572462,2016,2017-06-08,Q2-2017
135000,10,St. Paul,572486,2016,2017-05-16,Q2-2017
220000,10,St. Paul,572526,2016,2016-10-27,Q4-2016
205000,10,St. Paul,572567,2016,2016-10-18,Q4-2016
310000,10,Minneapolis,572641,2016,2017-04-27,Q2-2017
275000,10,Minneapolis,572704,2016,2017-02-10,Q1-2017
356500,10,Minneapolis,572730,2016,2017-06-08,Q2-2017
309200,10,St. Paul,572794,2016,2016-10-18,Q4-2016
89900,10,St. Paul,572796,2016,2016-10-31,Q4-2016
184900,10,Minneapolis,572817,2016,2017-04-27,Q2-2017
242000,10,Minneapolis,572837,2016,2016-10-21,Q4-2016
88000,10,Minneapolis,572876,2016,2016-10-21,Q4-2016
196500,10,St. Paul,572895,2016,2017-03-31,Q1-2017
650000,10,Minneapolis,572915,2016,2017-04-27,Q2-2017
315000,10,Minneapolis,572927,2016,2017-02-10,Q1-2017
169000,10,St. Paul,572934,2016,2016-10-26,Q4-2016
159000,10,St. Paul,572936,2016,2016-10-18,Q4-2016
220000,10,Minneapolis,572945,2016,2017-02-23,Q1-2017
360000,10,Minneapolis,572968,2016,2017-02-10,Q1-2017
250000,10,St. Paul,573054,2016,2016-10-18,Q4-2016
78000,10,St. Paul,573068,2016,2016-10-18,Q4-2016
557500,10,Minneapolis,573093,2016,2017-04-27,Q2-2017
150000,10,Minneapolis,573102,2016,2017-06-08,Q2-2017
235000,10,Minneapolis,573141,2016,2017-02-23,Q1-2017
280000,10,Minneapolis,573175,2016,2017-02-10,Q1-2017
181000,10,Minneapolis,573184,2016,2017-04-27,Q2-2017
194100,10,St. Paul,573192,2016,2017-03-31,Q1-2017
92000,10,Minneapolis,573206,2016,2016-11-04,Q4-2016
365000,10,Minneapolis,573210,2016,2016-11-01,Q4-2016
153000,10,Minneapolis,573212,2016,2017-06-08,Q2-2017
357000,10,St. Paul,573219,2016,2016-10-31,Q4-2016
210000,10,Minneapolis,573222,2016,2017-06-08,Q2-2017
183000,10,Minneapolis,573224,2016,2016-10-26,Q4-2016
490000,10,St. Paul,573264,2016,2016-10-24,Q4-2016
55000,10,Minneapolis,573266,2016,2016-10-27,Q4-2016
204500,10,Minneapolis,573290,2016,2017-04-27,Q2-2017
615000,10,St. Paul,573302,2016,2016-10-26,Q4-2016
